Час (с),Ціль,ID цілі,Bid значення,Переможці
14.83,Піхота,1,D0=0.56; D1=0.53; D2=0.71; D3=0.70; D4=0.59; D5=0.58; D6=0.68; D7=0.65; D8=0.67; D9=0.63; D10=0.62; D11=0.68; D12=0.69; D13=0.69; D14=0.54,D2
18.23,БМП,7,D0=0.48; D1=0.49; D3=0.70; D4=0.57; D5=0.59; D6=0.60; D7=0.66; D8=0.55; D9=0.63; D10=0.54; D11=0.62; D12=0.65; D13=0.62; D14=0.49,"D3, D7, D12"
28.17,Авто,4,D0=0.47; D1=0.51; D5=0.55; D6=0.56; D8=0.47; D9=0.58; D10=0.54; D11=0.57; D13=0.61; D14=0.48,"D13, D9"
32.17,Піхота,3,D0=0.51; D1=0.53; D5=0.52; D6=0.52; D8=0.52; D10=0.51; D11=0.55; D14=0.49,D11
37.77,Авто,4,D0=0.51; D1=0.53; D5=0.55; D6=0.55; D8=0.51; D10=0.54; D14=0.45,D6
44.83,Авто,4,D0=0.52; D1=0.54; D5=0.55; D8=0.52; D10=0.49; D14=0.45,D5
44.93,Авто,4,D0=0.52; D1=0.54; D8=0.52; D10=0.49; D14=0.49,D1
52.4,Авто,4,D0=0.53; D8=0.53; D10=0.43; D14=0.45,D0
57.33,Авто,4,D8=0.49; D10=0.42; D14=0.45,D8
64.57,Авто,4,D10=0.41; D14=0.44,D14
67.67,Авто,4,D10=0.41,D10
