Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.8,15
16.0,14.8,15
18.0,16.2,15
20.0,17.6,15
22.0,19.5,14
24.0,21.0,14
26.0,21.9,13
28.0,22.9,12
30.0,23.8,11
32.0,25.7,11
34.0,25.7,10
36.0,26.2,10
38.0,27.1,9
40.0,27.6,9
42.0,28.6,9
44.0,29.0,9
46.0,30.0,7
48.0,30.5,6
50.0,31.0,6
52.0,31.4,6
54.0,31.4,5
56.0,32.4,5
58.0,33.3,4
60.0,33.8,4
62.0,34.3,4
64.0,34.8,4
66.0,34.8,3
68.0,35.2,2
70.0,35.7,2
72.0,35.7,2
74.0,37.1,2
76.0,37.6,2
78.0,37.6,1
80.0,38.1,1
82.0,38.6,1
