Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.8,15
16.0,14.8,15
18.0,16.2,15
20.0,17.6,15
22.0,19.0,15
24.0,21.4,15
26.0,22.4,15
28.0,23.8,15
30.0,25.2,15
32.0,27.6,15
34.0,29.0,15
36.0,30.0,15
38.0,31.9,15
40.0,33.8,15
42.0,34.8,14
44.0,36.2,14
46.0,37.6,14
48.0,39.5,14
50.0,40.5,12
52.0,41.0,12
54.0,42.4,12
56.0,43.8,12
58.0,45.2,12
60.0,46.2,12
62.0,47.1,12
64.0,47.6,12
66.0,47.6,12
68.0,47.6,12
70.0,48.1,12
72.0,48.1,12
74.0,48.6,12
76.0,48.6,12
78.0,48.6,12
80.0,49.0,12
82.0,49.0,12
84.0,49.5,12
86.0,49.5,12
88.0,49.5,12
90.0,50.0,12
92.0,50.0,12
94.0,50.0,12
96.0,50.0,12
98.0,50.0,12
100.0,50.0,12
102.0,50.0,12
104.0,50.0,12
106.0,50.0,12
108.0,50.0,12
110.0,50.0,12
112.0,50.0,12
114.0,50.0,12
116.0,50.0,12
118.0,50.0,12
120.0,50.0,12
122.0,50.0,12
124.0,50.0,12
126.0,50.0,12
128.0,50.0,12
130.0,50.0,12
132.0,50.0,12
134.0,50.0,12
136.0,50.0,12
138.0,50.0,12
140.0,50.0,12
142.0,50.0,12
144.0,50.0,12
146.0,50.0,12
148.0,50.0,12
