Час (с),Ціль,ID цілі,Bid значення,Переможці
21.9,Піхота,2,D0=0.55; D1=0.60; D2=0.56,D1
36.13,Піхота,10,D0=0.51; D2=0.49,D0
60.1,Піхота,11,D6=0.52; D7=0.57; D8=0.42,D7
70.27,Піхота,1,D9=0.56; D10=0.54; D11=0.56,D11
83.73,Авто,4,D2=0.47,D2
83.73,Авто,4,D3=0.52; D4=0.45; D5=0.48; D6=0.38; D8=0.37; D10=0.33; D12=0.29; D13=0.34; D14=0.30,"D3, D5"
101.2,Авто,6,D6=0.46; D8=0.40,"D6, D8"
110.67,Піхота,3,D12=0.48; D13=0.49; D14=0.43,D13
118.77,БМП,8,D12=0.44; D14=0.41,"D12, D14"
118.77,БМП,8,D3=0.26; D4=0.28,"D4, D3"
