Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.5,15
8.0,10.5,15
10.0,12.4,15
12.0,13.8,15
14.0,13.8,15
16.0,15.7,15
18.0,17.6,14
20.0,18.6,13
22.0,19.5,13
24.0,21.4,13
26.0,21.4,13
28.0,22.4,13
30.0,24.3,12
32.0,25.2,11
34.0,25.7,11
36.0,26.2,11
38.0,28.1,10
40.0,28.1,10
42.0,30.0,10
44.0,31.0,10
46.0,31.0,10
48.0,32.9,10
50.0,33.8,9
52.0,34.3,9
54.0,35.2,9
56.0,37.1,9
58.0,38.1,9
60.0,39.0,9
62.0,41.0,9
64.0,41.4,9
66.0,43.3,9
68.0,45.2,9
70.0,46.7,8
72.0,48.6,8
74.0,50.0,8
76.0,51.4,8
78.0,52.4,8
80.0,54.8,8
82.0,56.2,8
84.0,58.1,8
86.0,59.0,7
88.0,60.5,7
90.0,61.9,7
92.0,62.9,7
94.0,64.3,7
96.0,65.7,7
98.0,66.7,7
100.0,68.1,6
102.0,68.6,6
104.0,70.0,6
106.0,71.0,6
108.0,72.4,6
110.0,72.9,6
112.0,73.8,6
114.0,74.8,6
116.0,74.8,4
118.0,75.7,4
120.0,76.2,4
122.0,76.7,4
124.0,77.1,3
126.0,77.6,3
128.0,78.1,3
130.0,78.1,2
132.0,78.1,2
134.0,78.1,2
136.0,78.6,2
138.0,78.6,2
140.0,78.6,1
142.0,78.6,1
144.0,78.6,1
146.0,78.6,1
148.0,78.6,1
150.0,78.6,1
152.0,79.0,1
154.0,79.0,1
156.0,79.5,1
158.0,79.5,1
160.0,79.5,1
162.0,80.0,1
164.0,80.0,1
166.0,80.0,1
168.0,80.0,1
170.0,80.0,1
172.0,80.0,1
174.0,80.0,1
176.0,80.0,1
178.0,80.0,1
180.0,80.0,1
182.0,80.0,1
184.0,80.0,1
186.0,80.0,1
188.0,80.0,1
190.0,80.0,1
192.0,80.0,1
194.0,80.0,1
196.0,80.0,1
198.0,80.0,1
200.0,80.0,1
202.0,80.0,1
204.0,80.0,1
206.0,80.0,1
208.0,80.0,1
210.0,80.5,1
212.0,81.0,1
214.0,81.0,1
216.0,81.0,1
218.0,81.0,1
220.0,81.0,1
222.0,81.0,1
224.0,81.0,1
226.0,81.0,1
228.0,81.0,1
230.0,81.0,1
232.0,81.0,1
234.0,81.0,1
236.0,81.0,1
238.0,81.0,1
