Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,7.6,15
8.0,8.1,15
10.0,8.1,15
12.0,8.6,15
14.0,8.6,15
16.0,9.0,15
18.0,9.0,15
20.0,9.5,15
22.0,10.0,15
24.0,10.0,15
26.0,11.0,15
28.0,11.0,15
30.0,11.4,15
32.0,11.9,15
34.0,12.4,15
36.0,13.8,15
38.0,13.8,15
40.0,14.8,15
42.0,15.2,15
44.0,15.7,15
46.0,16.2,15
48.0,16.2,15
50.0,17.1,14
52.0,17.1,14
54.0,17.6,14
56.0,19.0,14
58.0,19.0,14
60.0,19.5,14
62.0,19.5,14
64.0,21.0,14
66.0,21.0,14
68.0,21.0,14
70.0,21.9,14
72.0,22.9,14
74.0,24.3,14
76.0,24.3,14
78.0,24.8,14
80.0,25.7,14
82.0,27.1,14
84.0,27.6,14
86.0,28.1,14
88.0,28.6,14
90.0,30.0,14
92.0,30.5,14
94.0,31.9,14
96.0,32.4,14
98.0,32.9,14
100.0,33.8,14
102.0,34.3,13
104.0,34.8,13
106.0,35.2,13
108.0,35.2,13
110.0,35.2,12
112.0,35.7,12
114.0,35.7,12
116.0,35.7,12
118.0,35.7,12
120.0,35.7,12
122.0,35.7,12
124.0,35.7,12
126.0,35.7,12
128.0,35.7,12
130.0,36.2,12
132.0,36.2,11
134.0,36.2,11
136.0,36.2,11
138.0,36.2,11
140.0,36.2,11
142.0,36.2,11
144.0,36.2,10
146.0,36.2,10
148.0,36.2,10
150.0,36.2,10
152.0,36.2,10
154.0,36.2,10
156.0,36.2,10
158.0,36.2,10
160.0,36.7,10
162.0,36.7,10
164.0,36.7,10
166.0,37.1,10
168.0,37.1,10
170.0,37.1,10
172.0,37.1,10
174.0,37.1,10
176.0,37.1,10
178.0,37.1,10
180.0,37.1,10
182.0,37.1,10
184.0,37.6,10
186.0,37.6,10
188.0,38.1,10
190.0,38.1,10
192.0,38.6,10
194.0,38.6,10
196.0,38.6,10
198.0,38.6,10
200.0,38.6,10
202.0,38.6,10
204.0,38.6,10
206.0,38.6,10
208.0,38.6,10
210.0,38.6,10
212.0,38.6,10
214.0,38.6,10
216.0,38.6,10
218.0,38.6,10
220.0,38.6,10
222.0,38.6,10
224.0,38.6,10
226.0,38.6,10
228.0,38.6,10
230.0,38.6,10
232.0,38.6,10
234.0,38.6,10
236.0,38.6,10
238.0,38.6,10
240.0,38.6,10
242.0,38.6,10
