Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,11.4,15
12.0,13.8,15
14.0,14.8,15
16.0,16.2,15
18.0,18.1,15
20.0,21.0,15
22.0,22.4,15
24.0,24.3,15
26.0,25.7,15
28.0,27.1,13
30.0,29.5,12
32.0,30.0,11
34.0,32.4,11
36.0,33.3,10
38.0,34.8,9
40.0,36.2,9
42.0,37.1,9
44.0,39.5,9
46.0,41.0,9
48.0,43.3,9
50.0,44.3,9
52.0,45.2,9
54.0,47.1,9
56.0,48.6,9
58.0,50.5,9
60.0,51.9,9
62.0,53.3,9
64.0,54.3,9
66.0,55.7,8
68.0,57.1,8
70.0,58.1,8
72.0,60.0,8
74.0,61.4,8
76.0,62.4,8
78.0,63.8,8
80.0,65.2,8
82.0,66.7,8
84.0,67.1,8
86.0,68.1,8
88.0,69.0,8
90.0,70.5,8
92.0,71.0,7
94.0,71.9,7
96.0,71.9,5
98.0,72.4,4
100.0,73.3,4
102.0,73.8,4
104.0,75.2,4
106.0,75.2,4
108.0,76.2,4
110.0,77.1,4
112.0,77.1,4
114.0,78.6,4
116.0,79.0,4
118.0,79.5,4
120.0,81.0,4
122.0,81.0,4
124.0,82.4,4
126.0,82.9,4
128.0,83.8,4
130.0,84.8,4
132.0,85.2,4
134.0,86.7,4
136.0,86.7,4
138.0,87.6,4
140.0,88.6,4
142.0,89.0,4
144.0,90.5,4
146.0,90.5,4
148.0,91.4,4
150.0,92.4,4
152.0,92.9,4
154.0,93.8,4
156.0,94.8,4
158.0,95.7,4
160.0,96.2,4
162.0,96.7,4
164.0,97.1,4
166.0,97.1,4
168.0,97.1,4
170.0,97.1,4
172.0,97.1,4
174.0,97.1,4
176.0,97.1,4
178.0,97.1,4
180.0,97.1,4
182.0,97.1,4
184.0,97.1,4
186.0,97.1,4
188.0,97.1,4
190.0,97.1,4
192.0,97.1,4
194.0,97.1,4
196.0,97.1,4
198.0,97.1,4
200.0,97.1,4
202.0,97.1,4
204.0,97.1,4
206.0,97.1,4
208.0,97.1,4
210.0,97.1,4
212.0,97.1,4
214.0,97.1,4
216.0,97.1,4
218.0,97.1,4
220.0,97.1,4
222.0,97.1,4
224.0,97.1,4
226.0,97.1,4
228.0,97.1,4
230.0,97.1,4
